idx,incl,period_sec,dPdt_true,err_incl,err_period_sec,err_dPdt,cov_incl_incl,cov_incl_logP,cov_incl_dPdt,cov_logP_logP,cov_logP_dPdt,cov_dPdt_dPdt
1040,88.74480717689235,1125.5990242055175,-2.2275069933295973e-12,0.0043836191165999485,1.9443130172700073e-06,3.1838456842318747e-18,1.9216116559420516e-05,2.320602959518418e-15,4.607372722512363e-23,2.9837673114573356e-18,1.3596783761713003e-28,1.0136873341001935e-35
1072,88.08662637503525,944.4713445921398,-3.1100625048724614e-12,0.006360735870913215,1.7990910804599305e-06,2.2415311172045185e-18,4.04589608195221e-05,1.6492254645521192e-14,3.0595170682493912e-22,3.628513381478638e-18,-5.44995923975017e-29,5.0244617493961365e-36
1088,87.65259229011853,3823.8900406424555,-4.2322454267573425e-13,0.21403269559568205,4.924790103272218e-05,5.612151973329962e-16,0.045809994783953895,-8.636242349002155e-12,-6.118421662060189e-19,1.6586878379996861e-16,8.045145160176891e-26,3.1496249771751386e-31
1108,89.25172622631325,6398.415945560637,-2.570658670905964e-13,0.14434472111321958,5.868565256706689e-05,1.3336096974512384e-15,0.020835398513253143,2.2720743581995622e-11,3.802020113842858e-17,8.412381083607336e-17,2.2670754004034088e-26,1.7785148251359837e-30
1136,86.56274696929935,1233.1625822580238,-1.842905080602139e-12,0.023302791049091085,3.635896297697009e-06,1.1733324008259156e-17,0.0005430200706775996,-6.097171609027816e-14,2.389190452562178e-22,8.69325259260679e-18,-2.6105799136678646e-28,1.3767089228279072e-34
1150,86.86472526315968,1640.3549827873542,-1.141192518787745e-12,0.02559412608346019,5.515156970515478e-06,3.3211711501936234e-17,0.0006550592899760572,-5.546052366999066e-14,5.404838524721605e-23,1.1304206203693642e-17,1.1686572412857227e-27,1.1030177808878434e-33
1160,85.72183868596618,518.9965760475591,-8.904144332070864e-12,0.014730170434581238,1.2422659083648765e-06,9.08888106322564e-19,0.00021697792103181124,8.93608532403064e-15,-4.668990499984794e-23,5.729281333389576e-18,4.2507434390177865e-29,8.260775898146161e-37
1162,88.42098955366009,1864.5718398631673,-1.866097815690043e-12,0.05931693006105476,1.4166730438120946e-05,4.09461176488992e-17,0.003518498191868062,1.2668786801220716e-12,1.681066159925473e-19,5.772726989415676e-17,4.061112206056456e-27,1.6765845505174944e-33
1174,83.15910797164453,606.6858035905873,-6.722760143135182e-12,0.049948095979030875,2.350422605381133e-06,2.1174241771235656e-18,0.0024948122919304806,-1.1150523375808399e-13,-6.237825598904507e-22,1.5009431580245143e-17,-8.519926436911928e-29,4.483485145867408e-36
1188,88.49183226998144,3970.0914996777974,-5.297783537621439e-13,0.4509957832487175,4.2085848479092996e-05,3.1449514108021546e-16,0.20339719650812416,1.4650720777612278e-11,1.3121844575599309e-18,1.1237537194705641e-16,-1.5782031350109053e-26,9.890719376306462e-32
1194,87.20267956581345,1395.2956781096523,-2.5686725941114366e-12,0.20052926871266913,9.56282498141423e-06,2.4426016653197754e-17,0.04021198761043786,4.1155433568305687e-13,-1.3493921858590443e-19,4.6972093508210627e-17,3.0057463651876536e-28,5.966302895422939e-34
1241,88.6782149332883,632.0704919177482,-6.3747027288146454e-12,0.008347135483072322,1.0843407213936032e-06,8.4253980983815235e-19,6.9674670772765e-05,-1.4268651553718757e-15,-1.0000458213439359e-22,2.9430694017228167e-18,7.619734552989267e-29,7.098733311621099e-37
1252,89.41182254268479,9523.243107761895,-1.1268784014323661e-13,0.09218902040780091,6.182969200030994e-05,2.667815003572396e-15,0.008498815483749932,-6.089183572009518e-13,4.461462277395907e-17,4.2152605504171103e-17,-5.602092741718148e-27,7.117236893285984e-30
1278,88.801735061937,5015.606778905265,-6.555831416444183e-13,1.288050702298704,7.811728839197348e-05,1.7817212603606663e-15,1.6590746116921844,2.4213240757982944e-10,1.1183619120638194e-15,2.425757360942881e-16,5.465747173451019e-25,3.1745306496212016e-30
1292,86.26719898103057,909.0166061149279,-7.383472987734407e-12,1.0060176761876392,8.920025992990567e-06,9.887057395985667e-18,1.0120715648019776,-4.1698601537213776e-12,1.647197659926214e-19,9.629164491536387e-17,-2.1388853711814816e-27,9.775390395151488e-35
1301,87.72884408976485,2193.8730340604016,-7.21449564200205e-13,0.01815703279292836,6.54368009694535e-06,3.336461379721304e-17,0.00032967783984347575,-1.396030728327857e-13,-6.049531050867844e-20,8.896540072069846e-18,4.647227729825124e-30,1.1131974538371784e-33
1341,89.22121399685152,5275.930656749114,-2.7590389305082457e-13,0.18008703640934376,3.4540529605094505e-05,5.984797550012896e-16,0.0324313406827003,9.208379458354154e-13,3.030214667470213e-18,4.2860755975869536e-17,-3.8994900295145536e-28,3.581780171464037e-31
1359,87.5644341061526,4586.97873871105,-4.1201964940503964e-13,1.2691400778573279,0.00014599772969403456,1.217829510861321e-15,1.6107165372237044,-6.606469536907454e-11,-7.722813879199069e-17,1.0130683573916788e-15,-4.791448018319428e-27,1.4831087175247243e-30
1363,89.24573786122339,1159.5743886621433,-2.4197298134035705e-12,0.005769372164512986,1.8597401248119633e-06,2.7633839866212557e-18,3.3285655172657254e-05,5.492009418482577e-15,-6.029008651538952e-22,2.5722151592012866e-18,-1.6804840916178722e-28,7.636291057514784e-36
1412,88.6425296597475,3657.00691368063,-8.846833131464155e-13,0.13001739068003276,3.885462749787706e-05,3.3346562669261277e-16,0.016904521879244273,3.3115801316453667e-14,-4.052870339930432e-19,1.1288440199127397e-16,-4.887140438736417e-29,1.1119932418549697e-31
